구,고급휘발유,휘발유,경유,실내등유,셀프여부,상표
강북구,0,1473.28,1298.45,950,셀프,현대오일뱅크
강북구,0,1391.61,1204.94,950,셀프,현대오일뱅크
강북구,0,1232,1038.67,890,셀프,현대오일뱅크
강북구,0,1186.68,996.68,750,셀프,현대오일뱅크
강북구,0,1288.33,1092.67,750,셀프,현대오일뱅크
강북구,0,1528.74,1370.23,0,일반,SK에너지
강북구,0,1519.14,1359.14,0,일반,SK에너지
강북구,0,1435.48,1258.06,0,일반,SK에너지
강북구,0,1234.33,1041.67,0,일반,SK에너지
강북구,0,1186.68,996.68,0,일반,SK에너지
강북구,0,1302.33,1114.67,0,일반,SK에너지
강북구,0,1585.84,1415.58,0,셀프,SK에너지
강북구,0,1519.89,1352.57,0,셀프,SK에너지
강북구,0,1455.84,1264.94,0,셀프,SK에너지
강북구,0,1290.5,1078.17,0,셀프,SK에너지
강북구,0,1237.94,1033.03,0,셀프,SK에너지
강북구,0,1319.27,1127.91,0,셀프,SK에너지
강북구,1767,1531.55,1378.55,0,셀프,GS칼텍스
강북구,1767,1517.1,1358.31,0,셀프,GS칼텍스
강북구,1752.33,1425.27,1248.47,0,셀프,GS칼텍스
강북구,1694.33,1270.37,1076.37,0,셀프,GS칼텍스
강북구,1602.81,1214.87,1023.58,0,셀프,GS칼텍스
강북구,1622,1314.33,1121.33,0,셀프,GS칼텍스
강북구,0,1545.13,1427.06,1150,일반,GS칼텍스
강북구,0,1520.03,1386.59,1150,일반,GS칼텍스
강북구,0,1448.68,1276.1,1145.16,일반,GS칼텍스
강북구,0,1305,1108.33,1085,일반,GS칼텍스
강북구,0,1241.9,1047.06,995.16,일반,GS칼텍스
강북구,0,1338.67,1139.33,1000,일반,GS칼텍스
강북구,0,1544.45,1384.81,0,일반,S-OIL
강북구,0,1534.52,1374.52,0,일반,S-OIL
강북구,0,1469.65,1297.06,0,일반,S-OIL
강북구,0,1296.67,1103.67,0,일반,S-OIL
강북구,0,1230.61,1040.61,0,일반,S-OIL
강북구,0,1326.33,1136.33,0,일반,S-OIL
강북구,0,1511.65,1349.32,0,셀프,S-OIL
강북구,0,1478.52,1321.41,0,셀프,S-OIL
강북구,0,1396.71,1221.87,0,셀프,S-OIL
강북구,0,1232,1038.67,0,셀프,S-OIL
강북구,0,1186.68,996.68,0,셀프,S-OIL
강북구,0,1292.13,1098.73,0,셀프,S-OIL
강북구,0,1540.26,1381.26,1100,셀프,SK에너지
강북구,0,1521.62,1360.72,1100,셀프,SK에너지
강북구,0,1455.13,1263.84,1093.55,셀프,SK에너지
강북구,0,1292.67,1097.33,981.33,셀프,SK에너지
강북구,0,1233.19,1050.94,904.84,셀프,SK에너지
강북구,0,1325,1135,900,셀프,SK에너지
강북구,0,1508.03,1346.74,0,셀프,GS칼텍스
강북구,0,1478.52,1321.41,0,셀프,GS칼텍스
강북구,0,1397.48,1213.29,0,셀프,GS칼텍스
강북구,0,1235.67,1042,0,셀프,GS칼텍스
강북구,0,1186.03,996.03,0,셀프,GS칼텍스
강북구,0,1292,1095.33,0,셀프,GS칼텍스
강북구,0,1545.71,1375.71,0,셀프,SK에너지
강북구,0,1509.41,1318.72,0,셀프,SK에너지
강북구,0,1430.52,1231.48,0,셀프,SK에너지
강북구,0,1268.87,1076.87,0,셀프,SK에너지
강북구,0,1234.81,1054.81,0,셀프,SK에너지
강북구,0,1335.67,1135.67,0,셀프,SK에너지
강북구,1767,1537.68,1380.74,0,셀프,현대오일뱅크
강북구,1767,1534.28,1374.52,0,셀프,현대오일뱅크
강북구,1767,1468.68,1297.06,0,셀프,현대오일뱅크
강북구,1767,1289,1096.67,0,셀프,현대오일뱅크
강북구,1767,1215.19,1025.19,0,셀프,현대오일뱅크
강북구,1767,1307.67,1117.67,0,셀프,현대오일뱅크
강북구,1793,1537.68,1381.26,0,셀프,현대오일뱅크
강북구,1793,1534.28,1374.52,0,셀프,현대오일뱅크
강북구,1793,1469.32,1297.06,0,셀프,현대오일뱅크
강북구,1773.93,1287.67,1094,0,셀프,현대오일뱅크
강북구,1767,1215.19,1024.55,0,셀프,현대오일뱅크
강북구,1767,1307.67,1117.67,0,셀프,현대오일뱅크
