"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 07월","SK에너지","일반","1970.26","1755.35","1576.00","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 08월","SK에너지","일반","2003.52","1768.65","1580.52","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 09월","SK에너지","일반","2008.67","1781.33","1580.00","0.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 10월","SK에너지","일반","2007.00","1779.00","1571.81","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 11월","SK에너지","일반","2005.53","1771.20","1564.47","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 12월","SK에너지","일반","2043.10","1808.58","1603.16","1499.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 07월","SK에너지","일반","0.00","1699.00","1499.00","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 08월","SK에너지","일반","0.00","1699.00","1499.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 07월","S-OIL","일반","1828.00","1698.00","1528.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 08월","S-OIL","일반","1828.00","1698.00","1528.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 09월","S-OIL","일반","1828.00","1698.00","1528.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 10월","S-OIL","일반","1828.00","1698.00","1528.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 11월","S-OIL","일반","1828.00","1698.00","1528.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 12월","S-OIL","일반","1840.58","1710.58","1540.58","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 07월","S-OIL","셀프","0.00","1399.00","1198.29","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 08월","S-OIL","셀프","0.00","1399.00","1199.00","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 09월","S-OIL","셀프","0.00","1399.00","1199.00","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 10월","S-OIL","셀프","0.00","1393.52","1187.39","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 11월","S-OIL","셀프","0.00","1380.33","1170.33","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 12월","GS칼텍스","셀프","0.00","1398.35","1190.94","0.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 07월","GS칼텍스","일반","1770.00","1498.00","1327.52","1150.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 08월","GS칼텍스","일반","1770.00","1498.00","1327.52","1150.00"
