"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 06월","SK에너지","일반","1928.03","1703.37","1560.10","1499.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 01월","SK에너지","일반","0.00","1931.19","1724.03","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 02월","SK에너지","일반","0.00","1927.00","1725.00","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 03월","SK에너지","일반","0.00","1883.39","1681.65","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 04월","SK에너지","일반","0.00","1787.33","1587.33","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 05월","SK에너지","일반","0.00","1699.00","1499.00","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2020년 06월","SK에너지","일반","0.00","1699.00","1499.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 01월","S-OIL","일반","2145.00","1978.00","1826.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 02월","S-OIL","일반","2145.00","1978.00","1826.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 03월","S-OIL","일반","2090.48","1924.77","1771.48","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 04월","S-OIL","일반","1957.33","1828.00","1658.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 05월","S-OIL","일반","1841.55","1711.55","1541.55","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2020년 06월","S-OIL","일반","1828.00","1698.00","1528.00","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 01월","S-OIL","셀프","0.00","1599.00","1439.00","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 02월","S-OIL","셀프","0.00","1570.38","1410.38","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 03월","S-OIL","셀프","0.00","1521.26","1357.87","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 04월","S-OIL","셀프","0.00","1392.33","1219.67","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 05월","S-OIL","셀프","0.00","1325.45","1124.48","0.00"
"A0009828","서울 강남구","방죽주유소","서울 강남구 밤고개로 215 (율현동)","2020년 06월","S-OIL","셀프","0.00","1372.00","1174.67","0.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 01월","GS칼텍스","일반","2045.00","1678.00","1538.00","1330.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 02월","GS칼텍스","일반","2002.86","1636.62","1484.21","1330.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 03월","GS칼텍스","일반","1952.84","1559.61","1394.13","1286.77"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 04월","GS칼텍스","일반","1826.33","1398.00","1249.33","1185.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 05월","GS칼텍스","일반","1698.00","1345.10","1201.87","1150.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 06월","GS칼텍스","일반","1720.40","1440.00","1263.00","1150.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 01월","S-OIL","일반","1783.06","1635.00","1495.00","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 02월","S-OIL","일반","1785.00","1635.00","1493.97","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 03월","S-OIL","일반","1742.55","1592.55","1462.55","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 04월","S-OIL","일반","1610.33","1460.33","1321.33","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 05월","S-OIL","일반","1501.45","1351.45","1199.29","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 06월","S-OIL","일반","1524.33","1374.33","1210.90","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 01월","GS칼텍스","일반","1782.42","1635.00","1495.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 02월","GS칼텍스","일반","1785.00","1635.00","1495.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 03월","GS칼텍스","일반","1746.48","1596.48","1465.65","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 04월","GS칼텍스","일반","1607.33","1459.00","1319.67","0.00"
